question_id,scenario_id,domain,seed,forecaster_id,interface_id,friction_level,forecast_metric,target_metric,executed_metric,target_executed_gap,realized_cost,realized_turnover_or_adjustment,rank_within_forecast_metric,rank_within_executed_metric
Q2,synthetic_q2_stress_v2,synthetic,20,linear_ar,tempered,0.0,-0.044321280628756836,-0.044321280628756836,-0.044321280628756836,0.0,0.0,0.0986030618939308,2,2
Q2,synthetic_q2_stress_v2,synthetic,20,moving_average,tempered,0.0,-0.06258867151585826,-0.06258867151585826,-0.06258867151585826,0.0,0.0,0.039275563132948534,3,3
Q2,synthetic_q2_stress_v2,synthetic,20,naive_last,tempered,0.0,-0.0407688103166143,-0.0407688103166143,-0.0407688103166143,0.0,0.0,0.11407574209356394,1,1
Q2,synthetic_q2_stress_v2,synthetic,20,noisy_overreactive,tempered,0.0,-0.11056937961368349,-0.08943167713810095,-0.08943167713810095,0.0,0.0,0.30671427574940063,4,4
Q2,synthetic_q2_stress_v2,synthetic,20,linear_ar,tempered,0.25,-0.044321280628756836,-0.06897204610223955,-0.09811786298562884,0.029145816883389297,0.007190122928350492,0.02876049171340197,2,3
Q2,synthetic_q2_stress_v2,synthetic,20,moving_average,tempered,0.25,-0.06258867151585826,-0.0724075622990954,-0.13014651815316985,0.05773895585407446,0.006150606534136322,0.02460242613654529,3,4
Q2,synthetic_q2_stress_v2,synthetic,20,naive_last,tempered,0.25,-0.0407688103166143,-0.06928774584000527,-0.08590269097461543,0.016614945134610162,0.007857011926852269,0.031428047707409076,1,2
Q2,synthetic_q2_stress_v2,synthetic,20,noisy_overreactive,tempered,0.25,-0.11056937961368349,-0.16611024607545108,-0.07836599083103388,-0.0877442552444172,0.012424299933292915,0.04969719973317166,4,1
Q2,synthetic_q2_stress_v2,synthetic,20,linear_ar,tempered,0.5,-0.044321280628756836,-0.09362281157572223,-0.11792766092084209,0.024304849345119853,0.013314494206357589,0.026628988412715177,2,3
Q2,synthetic_q2_stress_v2,synthetic,20,moving_average,tempered,0.5,-0.06258867151585826,-0.0822264530823325,-0.1492115306943609,0.0669850776120284,0.011819139867092059,0.023638279734184118,3,4
Q2,synthetic_q2_stress_v2,synthetic,20,naive_last,tempered,0.5,-0.0407688103166143,-0.09780668136339628,-0.10500112990637474,0.00719444854297846,0.014434038159228028,0.028868076318456056,1,2
Q2,synthetic_q2_stress_v2,synthetic,20,noisy_overreactive,tempered,0.5,-0.11056937961368349,-0.24278881501280125,-0.09905389956668736,-0.1437349154461139,0.021512930455180948,0.043025860910361896,4,1
